Sample	Step	Total_Reads	Total_Bases	Reads_pe	Bases_pe	Reads_se	Bases_se	Timestamp
shHC5	filtered	32025782.0	6323877050	31369020.0	6258440141	656762	65436909	2018-12-01-08:55:00
shHC5	clean	12498388.0	2484536365	12395919.0	2474347123	102469	10189242	2018-12-01-18:35:15
shHC5	QC	12566608.0	2498037294	12462945.0	2487728991	103663	10308303	2018-12-01-21:21:32
shHC3	raw	35563666.0	7112733200	35563666.0	7112733200	0	0	2018-12-01-07:01:24
shHC3	deduplicated	32752612.0	6550522400	32752612.0	6550522400	0	0	2018-12-01-08:19:04
shHC3	filtered	32653244.0	6449101695	31995618.0	6383580184	657626	65521511	2018-12-01-08:49:00
shHC3	clean	13704259.0	2724203420	13590999.0	2712940492	113260	11262928	2018-12-01-14:23:26
shHC3	QC	13772820.0	2737783428	13658470.0	2726411896	114350	11371532	2018-12-01-21:20:39
shRTC6	raw	27192952.0	5438590400	27192952.0	5438590400	0	0	2018-12-01-07:25:20
shRTC6	deduplicated	25437190.0	5087438000	25437190.0	5087438000	0	0	2018-12-01-09:14:00
shRTC6	filtered	25377212.0	5012374426	24884725.0	4963261329	492487	49113097	2018-12-01-09:26:33
shRTC6	clean	9769699.0	1950157238	9769699.0	1950157238	0	0	2018-12-01-22:11:10
shRTC6	QC	9890644.0	1967180418	9819375.0	1960074824	71269	7105594	2018-12-01-22:11:10
shRTC5	raw	33671938.0	6734387600	33671938.0	6734387600	0	0	2018-12-01-07:13:21
shRTC5	deduplicated	30882347.0	6176469400	30882347.0	6176469400	0	0	2018-12-01-08:21:04
shRTC5	filtered	30834405.0	6102165782	30320751.0	6050949107	513654	51216675	2018-12-01-08:58:00
shRTC5	clean	19523700.0	3878401769	19335116.0	3859604420	188584	18797349	2018-12-01-18:35:15
shRTC5	QC	19618466.0	3897240051	19429067.0	3878361496	189399	18878555	2018-12-01-21:07:14
shRTC8	raw	61762191.0	12352438200	61762191.0	12352438200	0	0	2018-12-01-06:33:24
shRTC8	deduplicated	56785697.0	11357139400	56785697.0	11357139400	0	0	2018-12-01-07:55:04
shRTC8	filtered	56682011.0	11220783950	55809747.0	11133799135	872264	86984815	2018-12-01-08:14:33
shRTC8	clean	32938665.0	6553022580	32717109.0	6530928426	221556	22094154	2018-12-01-18:32:31
shRTC8	QC	33101477.0	6585406719	32878710.0	6563191676	222767	22215043	2018-12-01-18:35:15
shHC4	raw	43711964.0	8742392800	43711964.0	8742392800	0	0	2018-12-01-06:36:24
shHC4	deduplicated	39726109.0	7945221800	39726109.0	7945221800	0	0	2018-12-01-07:51:04
shHC4	filtered	39628838.0	7854723670	39102416.0	7802306169	526422	52417501	2018-12-01-08:16:32
shHC4	clean	29439898.0	5876519911	29439898.0	5876519911	0	0	2018-12-01-15:08:18
shHC4	QC	29832679.0	5929822807	29581899.0	5904872449	250780	24950358	2018-12-01-15:09:47
shHF2	raw	36729431.0	7345886200	36729431.0	7345886200	0	0	2018-12-01-06:54:24
shHF2	deduplicated	33469504.0	6693900800	33469504.0	6693900800	0	0	2018-12-01-07:57:04
shHF2	filtered	33361143.0	6619046407	32976611.0	6580719445	384532	38326962	2018-12-01-08:57:33
shHF2	clean	26395288.0	5248512927	26191749.0	5228229333	203539	20283594	2018-12-01-18:35:15
shHF2	QC	26530855.0	5275534105	26326855.0	5255204667	204000	20329438	2018-12-01-18:40:23
shRTF3	raw	39610760.0	7922152000	39610760.0	7922152000	0	0	2018-12-01-06:54:24
shRTF3	deduplicated	35871171.0	7174234200	35871171.0	7174234200	0	0	2018-12-01-07:55:04
shRTF3	filtered	35759660.0	7103963450	35444377.0	7072545347	315283	31418103	2018-12-01-08:57:33
shRTF3	clean	34813515.0	6946817080	34813515.0	6946817080	0	0	2018-12-01-15:11:09
shRTF3	QC	35279943.0	7009627622	34976907.0	6979429653	303036	30197969	2018-12-01-15:12:02
shRTF4	raw	30992234.0	6198446800	30992234.0	6198446800	0	0	2018-12-01-07:21:21
shRTF4	deduplicated	28457071.0	5691414200	28457071.0	5691414200	0	0	2018-12-01-08:41:00
shRTF4	filtered	28423298.0	5653290827	28237469.0	5634781785	185829	18509042	2018-12-01-09:19:33
shRTF4	clean	27060680.0	5400290449	27060680.0	5400290449	0	0	2018-12-01-22:12:47
shRTF4	QC	27347950.0	5441769775	27189345.0	5425973560	158605	15796215	2018-12-01-22:12:47
shHC1	raw	34147347.0	6829469400	34147347.0	6829469400	0	0	2018-12-01-07:10:20
shHC1	deduplicated	31758104.0	6351620800	31758104.0	6351620800	0	0	2018-12-01-08:20:33
shHC1	filtered	31694723.0	6273994720	31192455.0	6223896992	502268	50097728	2018-12-01-08:55:34
shHC1	clean	18402722.0	3659620201	18265745.0	3645959872	136977	13660329	2018-12-01-14:33:02
shHC1	QC	18491735.0	3677300663	18353842.0	3663548948	137893	13751715	2018-12-01-21:13:17
shRTC1	raw	33592011.0	6718402200	33592011.0	6718402200	0	0	2018-12-01-06:58:24
shRTC1	deduplicated	31080823.0	6216164600	31080823.0	6216164600	0	0	2018-12-01-07:58:04
shRTC1	filtered	31021029.0	6137490511	30499786.0	6085525188	521243	51965323	2018-12-01-08:41:00
shRTC1	clean	16132747.0	3208995873	16019826.0	3197746297	112921	11249576	2018-12-01-14:07:14
shRTC1	QC	16210201.0	3224378561	16096469.0	3213048097	113732	11330464	2018-12-01-21:17:18
